SNID,Filename,Date,Photometric Calibration,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/hst_11570_20_wfc3_ir_f160w/hst_11570_20_wfc3_ir_f160w_drz.fits,2017-08-21,WFC3 IR F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_57_NIC_NIC2_F160W/HST_10802_57_NIC_NIC2_F160W_drz.fits,2009-12-02T20:52:47,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_55_NIC_NIC2_F160W/HST_10802_55_NIC_NIC2_F160W_drz.fits,2009-12-02T20:21:51,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_f7_NIC_NIC2_F160W/HST_10802_f7_NIC_NIC2_F160W_drz.fits,2009-12-02T21:03:18,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_f6_NIC_NIC2_F160W/HST_10802_f6_NIC_NIC2_F160W_drz.fits,2009-12-02T21:02:21,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/na4m03010/na4m03010_mos.fits,2009-08-16T12:37:11,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg31020/idgg31020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58054.1795,1.94673675e-20,-21.1,15369.176,25.935479011637362
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg3b020/idgg3b020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58205.0311,1.94721894999999e-20,-21.1,15369.176,25.93521011181368
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg35020/idgg35020_drz.fits,2025-03-31,WFC3 IR F160W MJD#58090.8665,1.9468539e-20,-21.1,15369.176,25.935413676573738
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r758010/n9r758010_mos.fits,2010-11-26T01:28:19,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/ib1f20030/ib1f20030_drz.fits,2025-03-31,WFC3 IR F160W MJD#55401.0854,1.9382565e-20,-21.1,15369.176,25.940218957619948
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/na4m02010/na4m02010_mos.fits,2009-08-16T12:35:18,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r7f6010/n9r7f6010_mos.fits,2009-08-16T12:14:24,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r757010/n9r757010_mos.fits,2009-08-14T17:06:35,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/ib1f20040/ib1f20040_drz.fits,2025-04-03,WFC3 IR F160W MJD#55401.1612,1.93825679999999e-20,-21.1,15369.176,25.940218789571595
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r756010/n9r756010_mos.fits,2009-08-14T16:00:53,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r7f7010/n9r7f7010_mos.fits,2009-08-16T12:15:47,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r755010/n9r755010_mos.fits,2009-08-15T09:27:33,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r7f4010/n9r7f4010_mos.fits,2009-08-16T09:11:06,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg39020/idgg39020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58189.5435,1.94716935e-20,-21.1,15369.176,25.935237768283237
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/n9r7f5010/n9r7f5010_mos.fits,2009-08-16T10:21:24,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/ib1f20020/ib1f20020_drz.fits,2025-04-11,WFC3 IR F160W MJD#55401.0788,1.93825655e-20,-21.1,15369.176,25.94021892961188
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg37020/idgg37020_drz.fits,2025-04-03,WFC3 IR F160W MJD#58166.3222,1.9470951e-20,-21.1,15369.176,25.935279170665765
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/na4m05010/na4m05010_mos.fits,2009-08-16T12:40:28,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/ib1f20010/ib1f20010_drz.fits,2025-04-07,WFC3 IR F160W MJD#55401.0158,1.9382562e-20,-21.1,15369.176,25.940219125668342
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/na4m01010/na4m01010_mos.fits,2009-08-16T11:22:14,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/idgg33020/idgg33020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58073.7937,1.9467994e-20,-21.1,15369.176,25.935444070971293
2002fk,pantheon_data_folder/2002fk/mastDownload/HST/na4m04010/na4m04010_mos.fits,2010-11-15T17:25:31,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2007sr,pantheon_data_folder/2007sr/mastDownload/HST/ie5407060/ie5407060_drz.fits,2025-03-31,WFC3 IR F105W MJD#58976.1402,3.087825e-20,-21.1,10551.047,26.251390514221136
2007sr,pantheon_data_folder/2007sr/mastDownload/HST/ie5407010/ie5407010_drz.fits,2025-04-11,WFC3 IR F160W MJD#58976.0609,1.9496833e-20,-21.1,15369.176,25.93383690088806
2007sr,pantheon_data_folder/2007sr/mastDownload/HST/ie5407070/ie5407070_drz.fits,2025-04-04,WFC3 IR F125W MJD#58976.1537,2.2695818e-20,-21.1,12486.06,26.22000831191539
2007sr,pantheon_data_folder/2007sr/mastDownload/HST/ie5407040/ie5407040_drz.fits,2025-04-07,WFC3 IR F140W MJD#58976.1272,1.48092205e-20,-21.1,13922.907,26.44701989005198
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg51020/idgg51020_drz.fits,2025-03-31,WFC3 IR F160W MJD#58109.0340,1.94691205e-20,-21.1,15369.176,25.93538124752633
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg5b020/idgg5b020_drz.fits,2025-04-03,WFC3 IR F160W MJD#58208.9108,1.94723135e-20,-21.1,15369.176,25.935203197806345
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg55020/idgg55020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58146.5963,1.94703225e-20,-21.1,15369.176,25.9353142175527
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg59020/idgg59020_drz.fits,2025-03-31,WFC3 IR F160W MJD#58194.7217,1.9471859e-20,-21.1,15369.176,25.935228540088566
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg57020/idgg57020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58169.7559,1.9471061e-20,-21.1,15369.176,25.935273036879842
2002cr,pantheon_data_folder/2002cr/mastDownload/HST/idgg53020/idgg53020_drz.fits,2025-04-03,WFC3 IR F160W MJD#58128.9006,1.9469756e-20,-21.1,15369.176,25.935345808118704
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg31020/idgg31020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58054.1795,1.94673675e-20,-21.1,15369.176,25.935479011637362
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg3b020/idgg3b020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58205.0311,1.94721894999999e-20,-21.1,15369.176,25.93521011181368
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg35020/idgg35020_drz.fits,2025-03-31,WFC3 IR F160W MJD#58090.8665,1.9468539e-20,-21.1,15369.176,25.935413676573738
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg39020/idgg39020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58189.5435,1.94716935e-20,-21.1,15369.176,25.935237768283237
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg37020/idgg37020_drz.fits,2025-04-03,WFC3 IR F160W MJD#58166.3222,1.9470951e-20,-21.1,15369.176,25.935279170665765
2008fv,pantheon_data_folder/2008fv/mastDownload/HST/idgg33020/idgg33020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58073.7937,1.9467994e-20,-21.1,15369.176,25.935444070971293
2006mr,pantheon_data_folder/2006mr/mastDownload/HLA/hst_11691_03_wfc3_ir_f160w/hst_11691_03_wfc3_ir_f160w_drz.fits,2017-08-12,WFC3 IR F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
2006mr,pantheon_data_folder/2006mr/mastDownload/HLA/hst_11691_03_wfc3_ir_f110w/hst_11691_03_wfc3_ir_f110w_drz.fits,2017-08-12,WFC3 IR F110W,1.5274129e-20,-21.1,11534.459,26.822122716302047
2006mr,pantheon_data_folder/2006mr/mastDownload/HST/ib3n03030/ib3n03030_drz.fits,2025-04-03,WFC3 IR F110W MJD#55407.4690,1.529306625e-20,-21.1,11534.459,26.820777426987405
2006mr,pantheon_data_folder/2006mr/mastDownload/HST/n4b707010/n4b707010_mos.fits,2009-06-16T22:46:05,"NICMOS,2,F110W,DN",4.332017e-19,-21.1,11284.7,23.23782452942378
2006mr,pantheon_data_folder/2006mr/mastDownload/HST/n4b707020/n4b707020_mos.fits,2009-02-22T16:47:09,"NICMOS,1,F110W,DN",5.4386763e-19,-21.1,11292.4,22.989335705309806
2006mr,pantheon_data_folder/2006mr/mastDownload/HST/n4b707030/n4b707030_mos.fits,2009-06-16T22:46:44,"NICMOS,2,F160W,DN",2.3600094e-19,-21.1,16059.9,23.13100148436843
2006mr,pantheon_data_folder/2006mr/mastDownload/HST/ib3n03050/ib3n03050_drz.fits,2025-04-07,WFC3 IR F160W MJD#55407.5290,1.9382771e-20,-21.1,15369.176,25.9402074183593
