SNID,Filename,Date,Photometric Calibration,Filter,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_4j_wfc3_ir_f160w/hst_12444_4j_wfc3_ir_f160w_drz.fits,2017-08-16,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_9o_wfc3_ir_f160w/hst_12445_9o_wfc3_ir_f160w_drz.fits,2017-08-18,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/HST_10189_b3_NIC_NIC2_F110W/HST_10189_b3_NIC_NIC2_F110W_drz.fits,2009-12-02T16:22:14,"NICMOS,2,F110W,DN",F110W,2.8628098e-19,-21.1,11234.7,23.69721136217584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_7b_wfc3_ir_f160w/hst_12445_7b_wfc3_ir_f160w_drz.fits,2017-09-11,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_9k_wfc3_ir_f160w/hst_12445_9k_wfc3_ir_f160w_drz.fits,2017-09-02,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_5g_wfc3_ir_f160w/hst_12444_5g_wfc3_ir_f160w_drz.fits,2017-08-13,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_8g_wfc3_ir_f160w/hst_12445_8g_wfc3_ir_f160w_drz.fits,2017-09-10,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_5h_wfc3_ir_f125w/hst_12444_5h_wfc3_ir_f125w_drz.fits,2017-09-10,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_1d_wfc3_ir_f160w/hst_12443_1d_wfc3_ir_f160w_drz.fits,2017-09-10,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_9l_wfc3_ir_f160w/hst_12445_9l_wfc3_ir_f160w_drz.fits,2017-08-14,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_8h_wfc3_ir_f160w/hst_12445_8h_wfc3_ir_f160w_drz.fits,2017-08-18,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_2o_wfc3_ir_f125w/hst_12443_2o_wfc3_ir_f125w_drz.fits,2017-09-10,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_9k_wfc3_ir_f125w/hst_12445_9k_wfc3_ir_f125w_drz.fits,2017-09-02,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_8d_wfc3_ir_f160w/hst_12445_8d_wfc3_ir_f160w_drz.fits,2017-08-11,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/HST_10189_b4_NIC_NIC2_F110W/HST_10189_b4_NIC_NIC2_F110W_drz.fits,2009-12-02T16:26:26,"NICMOS,2,F110W,DN",F110W,2.8628098e-19,-21.1,11234.7,23.69721136217584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_an_wfc3_ir_f125w/hst_12445_an_wfc3_ir_f125w_drz.fits,2017-08-23,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_3l_wfc3_ir_f125w/hst_12443_3l_wfc3_ir_f125w_drz.fits,2017-08-18,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12442_cc_wfc3_ir_f105w/hst_12442_cc_wfc3_ir_f105w_drz.fits,2017-08-13,WFC3 IR F105W,F105W,3.03865739999999e-20,-21.1,10551.047,26.268817868473455
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/HST_10189_b9_NIC_NIC2_F110W/HST_10189_b9_NIC_NIC2_F110W_drz.fits,2009-12-02T16:16:24,"NICMOS,2,F110W,DN",F110W,2.8628098e-19,-21.1,11234.7,23.69721136217584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_ad_wfc3_ir_f160w/hst_12443_ad_wfc3_ir_f160w_drz.fits,2017-09-11,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_5h_wfc3_ir_f160w/hst_12444_5h_wfc3_ir_f160w_drz.fits,2017-09-10,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_2o_wfc3_ir_f160w/hst_12443_2o_wfc3_ir_f160w_drz.fits,2017-09-10,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_8h_wfc3_ir_f125w/hst_12445_8h_wfc3_ir_f125w_drz.fits,2017-08-18,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_5g_wfc3_ir_f125w/hst_12444_5g_wfc3_ir_f125w_drz.fits,2017-08-13,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_6d_wfc3_ir_f160w/hst_12444_6d_wfc3_ir_f160w_drz.fits,2017-08-18,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_6d_wfc3_ir_f125w/hst_12444_6d_wfc3_ir_f125w_drz.fits,2017-08-18,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_an_wfc3_ir_f160w/hst_12445_an_wfc3_ir_f160w_drz.fits,2017-08-23,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_3l_wfc3_ir_f160w/hst_12443_3l_wfc3_ir_f160w_drz.fits,2017-08-18,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_1h_wfc3_ir_f125w/hst_12443_1h_wfc3_ir_f125w_drz.fits,2017-08-14,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_1h_wfc3_ir_f160w/hst_12443_1h_wfc3_ir_f160w_drz.fits,2017-08-14,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_1d_wfc3_ir_f125w/hst_12443_1d_wfc3_ir_f125w_drz.fits,2017-09-10,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_3k_wfc3_ir_f125w/hst_12443_3k_wfc3_ir_f125w_drz.fits,2017-09-10,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
