SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2006bz,hst_14182_17_wfc3_ir_f160w_icwr17_drz,548,195.0787388,28.0093194,-53.23,9.901,8.854,-9.9021,0.0001,9137.488,0.8167301,0.011840099,0.0024501516,0.011116202,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,6.13942719529997e-22,5.30598660773939e-22,3.56250007947285e-05
2006bz,hst_13352_d1_wfc3_ir_f160w_icdxd1_drz,549,195.2500531,27.8198452,-73.65,2.842,2.403,-6.0305,0.0049,258.3444,1.155865,0.16923858,0.026643746,0.12773398,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.88792548727815e-22,4.3732377572861795e-22,3.56250007947285e-05
2006bz,hst_14182_05_wfc3_ir_f160w_icwr05_drz,550,194.9587867,27.9248444,52.5,31.094,20.068,-10.9006,0.0001,22920.65,2.367394,0.0019460961,-0.0013994989,0.0015713095,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.5299939293662e-22,-2.9979339965441e-23,3.56250007947285e-05
2006bz,hst_14182_59_wfc3_ir_f160w_icwr59_drz,551,195.0225148,28.024486,67.67,46.216,20.715,-11.1494,0.0001,28825.15,2.699397,0.002061744,-0.0013088908,0.00073694059,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-6.466764096068501e-22,-1.0749082533422001e-21,3.56250007947285e-05
2006bz,hst_14182_01_wfc3_ir_f160w_icwr01_drz,552,195.1434499,27.9346944,13.68,29.593,26.154,-9.5002,0.0004,6310.482,2.42819,0.0011597874,-0.00014713638,0.0014440652,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.92734280826468e-22,-1.8145712319332e-22,3.56250007947285e-05
2006bz,hst_14182_13_wfc3_ir_f160w_icwr13_drz,553,194.9096797,27.9871887,-41.65,36.783,23.433,-11.192,0.0003,29978.03,7.656799,0.001217096,0.001074711,0.001343205,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.3420897190651998e-23,-3.4604566391938e-23,3.56250007947285e-05
2006bz,hst_14182_12_wfc3_ir_f160w_icwr12_drz,554,194.9448737,27.9738461,-80.88,40.33,28.201,-12.4149,0.0,92457.03,3.878858,0.0012412618,0.00020118663,0.0006309665,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.4154352913428e-22,-7.006268976678899e-23,3.56250007947285e-05
2006bz,hst_skycell-p1892x03y19_wfc3_ir_f160w_all_drz,555,195.2470627,27.8189005,19.42,0.749,0.45,1.9814,0.1316,0.161235,0.01953895,2.1284246,-1.9747111,4.5805945,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006bz,hst_skycell-p1973x14y03_wfc3_ir_f160w_all_drz,556,195.0690475,27.9729475,18.55,0.75,0.453,3.2344,0.2263,0.05084529,0.01059421,2.0897746,-1.8674785,4.5584297,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006bz,hst_14182_16_wfc3_ir_f160w_icwr16_drz,557,195.1090273,28.0088924,-6.45,18.291,17.012,-8.6987,0.0005,3016.298,1.450907,0.0029947876,0.00010409804,0.0034495625,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-3.3327174762437e-22,-7.4782050305112e-23,3.56250007947285e-05
2006bz,hst_13352_d0_wfc3_ir_f160w_icdxd0_drz,558,195.2585373,27.8237534,-60.21,9.243,4.806,-5.8286,0.0224,214.5092,4.41473,0.035491977,0.027237577,0.019502565,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,4.88792548727815e-22,4.3732377572861795e-22,3.56250007947285e-05
2006bz,hst_14182_04_wfc3_ir_f160w_icwr04_drz,559,194.9860607,27.9300519,-29.16,41.194,24.057,-11.6279,0.0001,44787.68,3.13193,0.00085961743,0.00096896937,0.0014575976,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-5.0259249279984e-22,4.0885083714113097e-22,3.56250007947285e-05
2006bz,hst_skycell-p1973x14y03_wfc3_ir_f160w_coarse-all_drz,560,195.0469122,27.9728303,-2.1,0.883,0.455,-0.2186,0.0405,1.223072,0.04564451,1.2886909,0.25910792,4.8231354,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006bz,hst_skycell-p1892x03y19_wfc3_ir_f160w_coarse-all_drz,561,195.2585352,27.8237529,-65.92,11.063,6.01,-5.8256,0.0144,213.9135,2.835337,0.024435164,0.014540091,0.011420489,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2002dp,hst_skycell-p1846x08y13_wfc3_ir_f160w_coarse-all_drz,562,352.1257555,22.4123937,75.19,18.24,6.869,-4.9695,0.0262,97.23355,2.343412,0.020005994,-0.0089880424,0.0041938671,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2002dp,hst_15640_41_wfc3_ir_f160w_idxb41_drz,563,352.124123,22.3967626,-85.42,2.072,1.467,-8.6382,0.0005,2852.949,1.238801,0.46317914,0.036846764,0.23443072,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.06797588502529e-21,2.06377888228232e-21,3.56250007947285e-05
2002dp,idxb41030_drz,564,352.1312161,22.4359444,66.78,93.295,58.683,-10.3199,0.0021,13425.85,26.22501,0.00026310954,-0.0001271701,0.00014216735,2025-04-04,HST,WFC3,F160W,1.63216745596324e-05,3.16661273475911e-05,3.16661273475911e-05,-1.6321674559632e-05
2002dp,hst_15640_4a_wfc3_ir_f160w_idxb4a_drz,565,352.1112007,22.4022517,10.49,11.231,8.326,-11.6465,0.0001,45562.95,4.150086,0.0081437621,-0.0023254168,0.014209952,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-3.9272544790642e-22,6.658786354880001e-23,3.56250007947285e-05
