SNID,filename,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_02_wfc3_ir_f160w_ic0b02/hst_13050_02_wfc3_ir_f160w_ic0b02_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.39968776537181e-21,-4.1059188601462e-22,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02010/icoe02010_drz.fits,2025-03-31,HST,WFC3,F160W,-1.65906236774e-05,-3.1526050936e-05,-3.1526050936e-05,1.65906236774006e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_02_wfc3_ir_total_ic0b02/hst_13050_02_wfc3_ir_total_ic0b02_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,1.39968776537181e-21,-4.1059188601462e-22,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02020/icoe02020_drz.fits,2025-04-03,HST,WFC3,F160W,-1.6596508733275e-05,-3.1522953216517e-05,-3.1522953216517e-05,1.65965087332753e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_11_wfc3_ir_total_ic0b11/hst_13050_11_wfc3_ir_total_ic0b11_drz.fits,2024-11-08,HST,WFC3,detection,-3.5625000794728e-05,2.17312968214872e-21,1.69416614126529e-21,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02080/icoe02080_drz.fits,2025-04-11,HST,WFC3,F160W,-1.6598658240806e-05,-3.1521821429437e-05,-3.1521821429437e-05,1.65986582408061e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_11207_07_acs_sbc_f140lp_ja2707/hst_11207_07_acs_sbc_f140lp_ja2707_drz.fits,2024-11-01,HST,ACS,F140LP;N/A,-6.9444444444444e-06,4.48069903473557e-22,3.36960019316634e-22,6.94444444444444e-06
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02060/icoe02060_drz.fits,2025-04-03,HST,WFC3,F160W,-1.6598658240806e-05,-3.1521821429437e-05,-3.1521821429437e-05,1.65986582408061e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_01_wfc3_ir_total_ic0b01/hst_13050_01_wfc3_ir_total_ic0b01_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-1.824725208626e-21,-2.8004395052945e-21,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13662_02_wfc3_ir_total_icoe02/hst_13662_02_wfc3_ir_total_icoe02_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-1.5436046937176e-21,-2.5206877590334e-21,3.56250007947285e-05
