index,filename,On_Image,SNID,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,ultra_extended
5525,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_17_wfc3_ir_f125w/hst_11563_17_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_17_wfc3_ir_f125w_drz,2017-08-18,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5526,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_0g_wfc3_ir_f125w/hst_11563_0g_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_0g_wfc3_ir_f125w_drz,2017-08-24,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5527,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_0d_wfc3_ir_f125w/hst_11563_0d_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_0d_wfc3_ir_f125w_drz,2017-08-27,HST,WFC3,F125W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5528,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_35_wfc3_ir_f105w/hst_12498_35_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_35_wfc3_ir_f105w_drz,2017-10-23,HST,WFC3,F105W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5529,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_62_wfc3_ir_f140w/hst_12498_62_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_62_wfc3_ir_f140w_drz,2017-08-18,HST,WFC3,F140W,-2.5e-05,6.09e-35,-3.7600000000000004e-37,2.5e-05,,i/na,
5530,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_02_wfc3_ir_f160w/hst_12498_02_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_02_wfc3_ir_f160w_drz,2017-09-02,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5531,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_04_wfc3_ir_f160w/hst_12498_04_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_04_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5532,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_02_wfc3_ir_f105w/hst_11563_02_wfc3_ir_f105w_drz.fits,True,Primo,hst_11563_02_wfc3_ir_f105w_drz,2017-08-16,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5533,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_21_wfc3_ir_f105w/hst_12498_21_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_21_wfc3_ir_f105w_drz,2017-09-10,HST,WFC3,F105W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5534,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_52_wfc3_ir_f140w/hst_12498_52_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_52_wfc3_ir_f140w_drz,2017-08-15,HST,WFC3,F140W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5535,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_12_wfc3_ir_f125w/hst_11563_12_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_12_wfc3_ir_f125w_drz,2017-08-28,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5536,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_1d_wfc3_ir_f125w/hst_11563_1d_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_1d_wfc3_ir_f125w_drz,2017-09-13,HST,WFC3,F125W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5537,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_4h_wfc3_ir_f160w/hst_11563_4h_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_4h_wfc3_ir_f160w_drz,2017-08-21,HST,WFC3,F160W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5538,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_59_wfc3_ir_f140w/hst_12498_59_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_59_wfc3_ir_f140w_drz,2017-08-30,HST,WFC3,F140W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5539,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_cm_wfc3_ir_f125w/hst_12061_cm_wfc3_ir_f125w_drz.fits,True,Primo,hst_12061_cm_wfc3_ir_f125w_drz,2017-08-25,HST,WFC3,F125W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5540,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_ht_wfc3_ir_f125w/hst_12061_ht_wfc3_ir_f125w_drz.fits,True,Primo,hst_12061_ht_wfc3_ir_f125w_drz,2017-08-23,HST,WFC3,F125W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5541,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_22_wfc3_ir_f160w/hst_11563_22_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_22_wfc3_ir_f160w_drz,2017-08-18,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5542,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_53_wfc3_ir_f140w/hst_12498_53_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_53_wfc3_ir_f140w_drz,2017-08-26,HST,WFC3,F140W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5543,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_28_wfc3_ir_f105w/hst_12498_28_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_28_wfc3_ir_f105w_drz,2017-10-19,HST,WFC3,F105W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5544,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_32_wfc3_ir_f160w/hst_11563_32_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_32_wfc3_ir_f160w_drz,2017-08-25,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5546,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_hs_wfc3_ir_f160w/hst_12061_hs_wfc3_ir_f160w_drz.fits,True,Primo,hst_12061_hs_wfc3_ir_f160w_drz,2017-08-26,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
