SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2008fp,/astro/armin/bhoomika/pantheon_data_folder/2008fp/mastDownload/JWST/jw02064-o001_t001_miri_f1500w-sub256/jw02064-o001_t001_miri_f1500w-sub256_i2d.fits,jw02064-o001_t001_miri_f1500w-sub256_i2d,2025-03-21T05:26:09.346,JWST,MIRI,F1500W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw01727-o015_t057_nircam_clear-f444w/jw01727-o015_t057_nircam_clear-f444w_i2d.fits,jw01727-o015_t057_nircam_clear-f444w_i2d,2025-05-25T02:36:35.786,JWST,NIRCAM,F444W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000029_nirspec_f290lp-g395m/jw04265-o002_b000000029_nirspec_f290lp-g395m_x1d.fits,jw04265-o002_b000000029_nirspec_f290lp-g395m_x1d,2025-06-15T17:30:50.619,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000029_nirspec_f290lp-g395m/jw04265-o002_b000000029_nirspec_f290lp-g395m_crf.fits,jw04265-o002_b000000029_nirspec_f290lp-g395m_crf,2025-06-15T17:30:33.694,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000029_nirspec_f290lp-g395m/jw04265-o002_b000000029_nirspec_f290lp-g395m_s2d.fits,jw04265-o002_b000000029_nirspec_f290lp-g395m_s2d,2025-06-15T17:30:45.559,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f290lp-g395m/jw04265-o002_b000000028_nirspec_f290lp-g395m_x1d.fits,jw04265-o002_b000000028_nirspec_f290lp-g395m_x1d,2025-06-15T17:30:25.773,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f290lp-g395m/jw04265-o002_b000000028_nirspec_f290lp-g395m_crf.fits,jw04265-o002_b000000028_nirspec_f290lp-g395m_crf,2025-06-15T17:30:08.820,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f290lp-g395m/jw04265-o002_b000000028_nirspec_f290lp-g395m_s2d.fits,jw04265-o002_b000000028_nirspec_f290lp-g395m_s2d,2025-06-15T17:30:20.917,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f170lp-g235m/jw04265-o002_b000000028_nirspec_f170lp-g235m_x1d.fits,jw04265-o002_b000000028_nirspec_f170lp-g235m_x1d,2025-06-15T17:30:24.438,JWST,NIRSPEC,F170LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f170lp-g235m/jw04265-o002_b000000028_nirspec_f170lp-g235m_crf.fits,jw04265-o002_b000000028_nirspec_f170lp-g235m_crf,2025-06-15T17:30:10.203,JWST,NIRSPEC,F170LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000028_nirspec_f170lp-g235m/jw04265-o002_b000000028_nirspec_f170lp-g235m_s2d.fits,jw04265-o002_b000000028_nirspec_f170lp-g235m_s2d,2025-06-15T17:30:20.295,JWST,NIRSPEC,F170LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw01727-o015_t057_nircam_clear-f150w/jw01727-o015_t057_nircam_clear-f150w_i2d.fits,jw01727-o015_t057_nircam_clear-f150w_i2d,2025-05-25T02:56:20.129,JWST,NIRCAM,F150W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw01727-o015_t057_nircam_clear-f115w/jw01727-o015_t057_nircam_clear-f115w_i2d.fits,jw01727-o015_t057_nircam_clear-f115w_i2d,2025-05-25T02:51:38.585,JWST,NIRCAM,F115W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000033_nirspec_f290lp-g395m/jw04265-o002_b000000033_nirspec_f290lp-g395m_crf.fits,jw04265-o002_b000000033_nirspec_f290lp-g395m_crf,2025-06-15T17:32:13.015,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000033_nirspec_f290lp-g395m/jw04265-o002_b000000033_nirspec_f290lp-g395m_s2d.fits,jw04265-o002_b000000033_nirspec_f290lp-g395m_s2d,2025-06-15T17:32:24.464,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000033_nirspec_f290lp-g395m/jw04265-o002_b000000033_nirspec_f290lp-g395m_x1d.fits,jw04265-o002_b000000033_nirspec_f290lp-g395m_x1d,2025-06-15T17:32:29.139,JWST,NIRSPEC,F290LP,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw01727-o017_t065_nircam_clear-f150w/jw01727-o017_t065_nircam_clear-f150w_i2d.fits,jw01727-o017_t065_nircam_clear-f150w_i2d,2025-05-24T22:44:06.076,JWST,NIRCAM,F150W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw01727-o017_t065_nircam_clear-f115w/jw01727-o017_t065_nircam_clear-f115w_i2d.fits,jw01727-o017_t065_nircam_clear-f115w_i2d,2025-05-24T22:43:25.269,JWST,NIRCAM,F115W,,,,
500038,/astro/armin/bhoomika/pantheon_data_folder/500038/mastDownload/JWST/jw04265-o002_b000000033_nirspec_f170lp-g235m/jw04265-o002_b000000033_nirspec_f170lp-g235m_x1d.fits,jw04265-o002_b000000033_nirspec_f170lp-g235m_x1d,2025-06-15T17:32:12.664,JWST,NIRSPEC,F170LP,,,,
