,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
41,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch1-short/jw06138-c1010_t005_miri_ch1-short_s3d.fits,jw06138-c1010_t005_miri_ch1-short_s3d,2025-06-14T02:48:11.505,JWST,MIRI,,-3.61111097865634e-05,0.0,0.0,3.61111097865634e-05,,,jw06138-c1010_t005_miri_ch1-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch3-short/jw06138-c1010_t005_miri_ch3-short_s3d.fits,jw06138-c1010_t005_miri_ch3-short_s3d,2025-06-14T02:48:14.300,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-c1010_t005_miri_ch3-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-c1007_t007_miri_f1130w/jw02107-c1007_t007_miri_f1130w_i2d.fits,jw02107-c1007_t007_miri_f1130w_i2d,2025-03-25T22:56:49.766,JWST,MIRI,F1130W,-3.0799898844466225e-05,-7.74592184726399e-07,-7.74592184726399e-07,3.0799898844466225e-05,,,jw02107-c1007_t007_miri_f1130w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch2-short/jw06138-o005_t005_miri_ch2-short_s3d.fits,jw06138-o005_t005_miri_ch2-short_s3d,2025-03-21T21:16:06.906,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-o005_t005_miri_ch2-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch2-long/jw06138-o005_t005_miri_ch2-long_s3d.fits,jw06138-o005_t005_miri_ch2-long_s3d,2025-03-21T21:16:07.645,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-o005_t005_miri_ch2-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f1500w/jw06023-o001_t001_miri_f1500w_i2d.fits,jw06023-o001_t001_miri_f1500w_i2d,2025-06-19T14:08:16.706,JWST,MIRI,F1500W,7.53822752021429e-06,-2.987446142841436e-05,-2.987446142841436e-05,-7.53822752021429e-06,,,jw06023-o001_t001_miri_f1500w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f1280w/jw06023-o001_t001_miri_f1280w_i2d.fits,jw06023-o001_t001_miri_f1280w_i2d,2025-06-19T14:08:06.319,JWST,MIRI,F1280W,7.538314060020287e-06,-2.987443966494468e-05,-2.987443966494468e-05,-7.538314060020287e-06,,,jw06023-o001_t001_miri_f1280w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch3-long/jw06138-o005_t005_miri_ch3-long_s3d.fits,jw06138-o005_t005_miri_ch3-long_s3d,2025-03-21T21:16:08.771,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-o005_t005_miri_ch3-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2005df,/astro/armin/bhoomika/pantheon_data_folder/2005df/mastDownload/JWST/jw03707-c1061_t008_miri_f2100w/jw03707-c1061_t008_miri_f2100w_i2d.fits,jw03707-c1061_t008_miri_f2100w_i2d,2025-05-08T04:04:06.154,JWST,MIRI,F2100W,-1.0466486397314072e-05,-2.897794178780218e-05,-2.897794178780218e-05,1.0466486397314072e-05,64.40771,-62.76931,jw03707-c1061_t008_miri_f2100w_i2d.fits,0.0,0.0,89.76,246.977,17.16,3.5,-17.2548,0.0027,7978360.0,19623.79,36608.0,1135.9584,384.3577,0.0033957346,-2.8229639e-05,1.645303e-05,529.7853763676438,773.4372167565481,0.6849752829186682,0.0829299999999999,246.9770151949978,17.16047718311946,89.76068854938018,70.14088579180819,-70.38019724242801,1.5666195540438568,0.11091672138591577,95.87858274088029,6.66184353299299
50,2005df,/astro/armin/bhoomika/pantheon_data_folder/2005df/mastDownload/JWST/jw01685-o002_t001_nircam_clear-f150w/jw01685-o002_t001_nircam_clear-f150w_i2d.fits,jw01685-o002_t001_nircam_clear-f150w_i2d,2025-06-08T05:34:22.747,JWST,NIRCAM,F150W,6.61490138013536e-06,-5.611248980343447e-06,-5.611248980343447e-06,-6.61490138013536e-06,64.40771,-62.76931,jw01685-o002_t001_nircam_clear-f150w_i2d.fits,0.0,0.0,-89.51,1300.497,3.022,3.5,2.1782,0.0028,0.1344977,0.0003417692,2937.0,7646.0991,1989.3182,0.10947777,0.0018615898,8.5050515e-06,1504.0057272874317,4058.2269352109593,0.3706066100537693,0.1525999999999999,1300.4969538820246,3.0221869954155496,-89.51287259139212,139.69292390963435,-319.2057965010265,-1.5622943496379813,0.03122738763701911,142.13892874872792,0.33031251686089813
